"Step","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s1_4 - train/loss","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s1_4 - train/loss__MIN","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s1_4 - train/loss__MAX","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s1_3 - train/loss","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s1_3 - train/loss__MIN","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s1_3 - train/loss__MAX","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s1_2 - train/loss","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s1_2 - train/loss__MIN","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s1_2 - train/loss__MAX","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s1_1 - train/loss","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s1_1 - train/loss__MIN","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s1_1 - train/loss__MAX","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s1_0 - train/loss","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s1_0 - train/loss__MIN","CostFourierVelModel_lr3e-4_g_0.99_bal_aug_l2_1e-7_s1_0 - train/loss__MAX"
"0","0.08950464427471161","0.08950464427471161","0.08950464427471161","0.09855025261640549","0.09855025261640549","0.09855025261640549","0.07223550230264664","0.07223550230264664","0.07223550230264664","0.07265683263540268","0.07265683263540268","0.07265683263540268","0.08500943332910538","0.08500943332910538","0.08500943332910538"
"1","0.07805822044610977","0.07805822044610977","0.07805822044610977","0.08119044452905655","0.08119044452905655","0.08119044452905655","0.06939292699098587","0.06939292699098587","0.06939292699098587","0.07385611534118652","0.07385611534118652","0.07385611534118652","0.07248535752296448","0.07248535752296448","0.07248535752296448"
"2","0.08342209458351135","0.08342209458351135","0.08342209458351135","0.07663501054048538","0.07663501054048538","0.07663501054048538","0.05744222179055214","0.05744222179055214","0.05744222179055214","0.05356426164507866","0.05356426164507866","0.05356426164507866","0.07768873125314713","0.07768873125314713","0.07768873125314713"
"3","0.06081598997116089","0.06081598997116089","0.06081598997116089","0.06232573464512825","0.06232573464512825","0.06232573464512825","0.05255185440182686","0.05255185440182686","0.05255185440182686","0.05311784893274307","0.05311784893274307","0.05311784893274307","0.056367434561252594","0.056367434561252594","0.056367434561252594"
"4","0.0581294409930706","0.0581294409930706","0.0581294409930706","0.06807930767536163","0.06807930767536163","0.06807930767536163","0.047630470246076584","0.047630470246076584","0.047630470246076584","0.04824407026171684","0.04824407026171684","0.04824407026171684","0.05440247058868408","0.05440247058868408","0.05440247058868408"
"5","0.05160466954112053","0.05160466954112053","0.05160466954112053","0.05907457694411278","0.05907457694411278","0.05907457694411278","0.046552155166864395","0.046552155166864395","0.046552155166864395","0.04819180443882942","0.04819180443882942","0.04819180443882942","0.05055265128612518","0.05055265128612518","0.05055265128612518"
"6","0.050417374819517136","0.050417374819517136","0.050417374819517136","0.057488150894641876","0.057488150894641876","0.057488150894641876","0.04435962811112404","0.04435962811112404","0.04435962811112404","0.0462726354598999","0.0462726354598999","0.0462726354598999","0.04934511333703995","0.04934511333703995","0.04934511333703995"
"7","0.04810669645667076","0.04810669645667076","0.04810669645667076","0.05552152544260025","0.05552152544260025","0.05552152544260025","0.04424670711159706","0.04424670711159706","0.04424670711159706","0.04656442627310753","0.04656442627310753","0.04656442627310753","0.047386523336172104","0.047386523336172104","0.047386523336172104"
"8","0.04697688668966293","0.04697688668966293","0.04697688668966293","0.05499499291181564","0.05499499291181564","0.05499499291181564","0.04278424009680748","0.04278424009680748","0.04278424009680748","0.04568687826395035","0.04568687826395035","0.04568687826395035","0.046320848166942596","0.046320848166942596","0.046320848166942596"
"9","0.045811329036951065","0.045811329036951065","0.045811329036951065","0.05331515520811081","0.05331515520811081","0.05331515520811081","0.04180412366986275","0.04180412366986275","0.04180412366986275","0.04611778259277344","0.04611778259277344","0.04611778259277344","0.04534799978137016","0.04534799978137016","0.04534799978137016"
"10","0.04521433264017105","0.04521433264017105","0.04521433264017105","0.05241229385137558","0.05241229385137558","0.05241229385137558","0.0413108728826046","0.0413108728826046","0.0413108728826046","0.04352094233036041","0.04352094233036041","0.04352094233036041","0.04458620026707649","0.04458620026707649","0.04458620026707649"
"11","0.04492280259728432","0.04492280259728432","0.04492280259728432","0.05073728784918785","0.05073728784918785","0.05073728784918785","0.04113541170954704","0.04113541170954704","0.04113541170954704","0.04308150336146355","0.04308150336146355","0.04308150336146355","0.04395628720521927","0.04395628720521927","0.04395628720521927"
"12","0.043443258851766586","0.043443258851766586","0.043443258851766586","0.049958109855651855","0.049958109855651855","0.049958109855651855","0.041000235825777054","0.041000235825777054","0.041000235825777054","0.042440153658390045","0.042440153658390045","0.042440153658390045","0.042625222355127335","0.042625222355127335","0.042625222355127335"
"13","0.04265771806240082","0.04265771806240082","0.04265771806240082","0.049710068851709366","0.049710068851709366","0.049710068851709366","0.04070896655321121","0.04070896655321121","0.04070896655321121","0.04173087328672409","0.04173087328672409","0.04173087328672409","0.042014267295598984","0.042014267295598984","0.042014267295598984"
