"Step","CostFourierVelModel_MLP_512_freqs_32_4 - train/loss","CostFourierVelModel_MLP_512_freqs_32_4 - train/loss__MIN","CostFourierVelModel_MLP_512_freqs_32_4 - train/loss__MAX","CostFourierVelModel_MLP_512_freqs_32_3 - train/loss","CostFourierVelModel_MLP_512_freqs_32_3 - train/loss__MIN","CostFourierVelModel_MLP_512_freqs_32_3 - train/loss__MAX","CostFourierVelModel_MLP_512_freqs_32_2 - train/loss","CostFourierVelModel_MLP_512_freqs_32_2 - train/loss__MIN","CostFourierVelModel_MLP_512_freqs_32_2 - train/loss__MAX","CostFourierVelModel_MLP_512_freqs_32_1 - train/loss","CostFourierVelModel_MLP_512_freqs_32_1 - train/loss__MIN","CostFourierVelModel_MLP_512_freqs_32_1 - train/loss__MAX","CostFourierVelModel_MLP_512_freqs_32_0 - train/loss","CostFourierVelModel_MLP_512_freqs_32_0 - train/loss__MIN","CostFourierVelModel_MLP_512_freqs_32_0 - train/loss__MAX"
"0","0.07423453032970428","0.07423453032970428","0.07423453032970428","0.09061791747808456","0.09061791747808456","0.09061791747808456","0.07866548746824265","0.07866548746824265","0.07866548746824265","0.0968133732676506","0.0968133732676506","0.0968133732676506","0.1018982008099556","0.1018982008099556","0.1018982008099556"
"1","0.07106064260005951","0.07106064260005951","0.07106064260005951","0.07779847830533981","0.07779847830533981","0.07779847830533981","0.06901836395263672","0.06901836395263672","0.06901836395263672","0.07594902068376541","0.07594902068376541","0.07594902068376541","0.07213816046714783","0.07213816046714783","0.07213816046714783"
"2","0.052620578557252884","0.052620578557252884","0.052620578557252884","0.07271834462881088","0.07271834462881088","0.07271834462881088","0.06383670121431351","0.06383670121431351","0.06383670121431351","0.07522790879011154","0.07522790879011154","0.07522790879011154","0.07786144316196442","0.07786144316196442","0.07786144316196442"
"3","0.04861391335725784","0.04861391335725784","0.04861391335725784","0.05885991081595421","0.05885991081595421","0.05885991081595421","0.05149645358324051","0.05149645358324051","0.05149645358324051","0.06829275190830231","0.06829275190830231","0.06829275190830231","0.0690218135714531","0.0690218135714531","0.0690218135714531"
"4","0.04673543944954872","0.04673543944954872","0.04673543944954872","0.05823838710784912","0.05823838710784912","0.05823838710784912","0.048425182700157166","0.048425182700157166","0.048425182700157166","0.05320006608963013","0.05320006608963013","0.05320006608963013","0.05536806583404541","0.05536806583404541","0.05536806583404541"
"5","0.045743487775325775","0.045743487775325775","0.045743487775325775","0.056409355252981186","0.056409355252981186","0.056409355252981186","0.04732508212327957","0.04732508212327957","0.04732508212327957","0.05130036547780037","0.05130036547780037","0.05130036547780037","0.053187619894742966","0.053187619894742966","0.053187619894742966"
"6","0.04433731734752655","0.04433731734752655","0.04433731734752655","0.05431698262691498","0.05431698262691498","0.05431698262691498","0.045546479523181915","0.045546479523181915","0.045546479523181915","0.0486210361123085","0.0486210361123085","0.0486210361123085","0.049636878073215485","0.049636878073215485","0.049636878073215485"
"7","0.044290509074926376","0.044290509074926376","0.044290509074926376","0.05423642694950104","0.05423642694950104","0.05423642694950104","0.044654011726379395","0.044654011726379395","0.044654011726379395","0.04794871807098389","0.04794871807098389","0.04794871807098389","0.05215078592300415","0.05215078592300415","0.05215078592300415"
"8","0.043726641684770584","0.043726641684770584","0.043726641684770584","0.053482864052057266","0.053482864052057266","0.053482864052057266","0.043540988117456436","0.043540988117456436","0.043540988117456436","0.046809352934360504","0.046809352934360504","0.046809352934360504","0.048027731478214264","0.048027731478214264","0.048027731478214264"
"9","0.0427425280213356","0.0427425280213356","0.0427425280213356","0.05326803773641586","0.05326803773641586","0.05326803773641586","0.042844854295253754","0.042844854295253754","0.042844854295253754","0.046245839446783066","0.046245839446783066","0.046245839446783066","0.04725473001599312","0.04725473001599312","0.04725473001599312"
